name,fips_code,type_name,type_id
ADAMS,42001,Rural Middle America,10
ALLEGHENY,42003,Urban Suburbs,7
ARMSTRONG,42005,Rural Middle America,10
BEAVER,42007,Middle Suburbs,15
BEDFORD,42009,Rural Middle America,10
BERKS,42011,Middle Suburbs,15
BLAIR,42013,Middle Suburbs,15
BRADFORD,42015,Rural Middle America,10
BUCKS,42017,Exurbs,1
BUTLER,42019,Middle Suburbs,15
CAMBRIA,42021,Rural Middle America,10
CAMERON,42023,Graying America,2
CARBON,42025,Working Class Country,5
CENTRE,42027,College Towns,11
CHESTER,42029,Exurbs,1
CLARION,42031,Rural Middle America,10
CLEARFIELD,42033,Rural Middle America,10
CLINTON,42035,Rural Middle America,10
COLUMBIA,42037,Rural Middle America,10
CRAWFORD,42039,Rural Middle America,10
CUMBERLAND,42041,College Towns,11
DAUPHIN,42043,College Towns,11
DELAWARE,42045,Urban Suburbs,7
ELK,42047,Rural Middle America,10
ERIE,42049,Rural Middle America,10
FAYETTE,42051,Rural Middle America,10
FOREST,42053,Graying America,2
FRANKLIN,42055,Rural Middle America,10
FULTON,42057,Rural Middle America,10
GREENE,42059,Working Class Country,5
HUNTINGDON,42061,Graying America,2
INDIANA,42063,Rural Middle America,10
JEFFERSON,42065,Rural Middle America,10
JUNIATA,42067,Rural Middle America,10
LACKAWANNA,42069,Middle Suburbs,15
LANCASTER,42071,Middle Suburbs,15
LAWRENCE,42073,Middle Suburbs,15
LEBANON,42075,Middle Suburbs,15
LEHIGH,42077,Middle Suburbs,15
LUZERNE,42079,Middle Suburbs,15
LYCOMING,42081,Rural Middle America,10
MCKEAN,42083,Rural Middle America,10
MERCER,42085,Rural Middle America,10
MIFFLIN,42087,Rural Middle America,10
MONROE,42089,Exurbs,1
MONTGOMERY,42091,Urban Suburbs,7
MONTOUR,42093,Rural Middle America,10
NORTHAMPTON,42095,Middle Suburbs,15
NORTHUMBERLAND,42097,Rural Middle America,10
PERRY,42099,Rural Middle America,10
PHILADELPHIA,42101,Big Cities,14
PIKE,42103,Exurbs,1
POTTER,42105,Graying America,2
SCHUYLKILL,42107,Rural Middle America,10
SNYDER,42109,Rural Middle America,10
SOMERSET,42111,Rural Middle America,10
SULLIVAN,42113,Graying America,2
SUSQUEHANNA,42115,Rural Middle America,10
TIOGA,42117,Rural Middle America,10
UNION,42119,Rural Middle America,10
VENANGO,42121,Rural Middle America,10
WARREN,42123,Working Class Country,5
WASHINGTON,42125,Middle Suburbs,15
WAYNE,42127,Working Class Country,5
WESTMORELAND,42129,Middle Suburbs,15
WYOMING,42131,Rural Middle America,10
YORK,42133,Middle Suburbs,15